Collar ID,Acq. Time [LMT],Acq. Time [UTC],SCTS [UTC],SCTS [LMT],Activity,Origin,Latitude[deg],Longitude[deg],Altitude[m],DOP,Fix Type,Easting,Northing,Mortality Status,Temp[°C],Main[V],Beacon [V]
48918,2023-07-17 02:00:38+08:00,2023-07-16 18:00:38,2023-07-18 00:01:31,2023-07-18 08:01:31+08:00,,Iridium,39.01727,97.31943,3560,1.6,3D Validated,354508,4320036,Nothing Detected,14,3.28,3.68
48918,2023-07-17 00:00:36+08:00,2023-07-16 16:00:36,2023-07-18 00:01:38,2023-07-18 08:01:38+08:00,,Iridium,39.01506,97.32035,3577,1.6,3D Validated,354583,4319789,Nothing Detected,13,3.36,3.68
48918,2023-07-16 22:00:42+08:00,2023-07-16 14:00:42,2023-07-18 00:01:38,2023-07-18 08:01:38+08:00,,Iridium,39.01398,97.32008,3559,2.2,3D Validated,354557,4319671,Nothing Detected,17,3.28,3.68
48918,2023-07-16 20:00:36+08:00,2023-07-16 12:00:36,2023-07-18 00:01:38,2023-07-18 08:01:38+08:00,,Iridium,39.00643,97.31740,3768,1.6,3D Validated,354309,4318837,Nothing Detected,19,3.28,3.68
48918,2023-07-16 18:00:37+08:00,2023-07-16 10:00:37,2023-07-18 00:01:38,2023-07-18 08:01:38+08:00,,Iridium,39.00412,97.32023,3894,2.2,3D Validated,354550,4318576,Nothing Detected,21,3.36,3.68
48918,2023-07-16 16:00:37+08:00,2023-07-16 08:00:37,2023-07-16 08:01:03,2023-07-16 16:01:03+08:00,,Iridium,39.00414,97.32027,3901,3.2,3D Validated,354553,4318578,Nothing Detected,23,3.28,3.68
48918,2023-07-16 14:00:44+08:00,2023-07-16 06:00:44,2023-07-16 08:01:03,2023-07-16 16:01:03+08:00,,Iridium,39.00411,97.32069,3918,3.8,3D Validated,354589,4318574,Nothing Detected,18,3.28,3.68
48918,2023-07-16 12:00:37+08:00,2023-07-16 04:00:37,2023-07-16 08:01:03,2023-07-16 16:01:03+08:00,,Iridium,39.00407,97.32091,3923,1.4,3D Validated,354608,4318570,Nothing Detected,24,3.28,3.68
48918,2023-07-16 10:00:16+08:00,2023-07-16 02:00:16,2023-07-16 08:01:03,2023-07-16 16:01:03+08:00,,Iridium,39.00196,97.31937,4054,3.2,3D Validated,354471,4318338,Nothing Detected,28,3.28,3.6
48918,2023-07-16 08:00:37+08:00,2023-07-16 00:00:37,2023-07-16 00:01:04,2023-07-16 08:01:04+08:00,,Iridium,39.00019,97.31943,3934,1.8,3D Validated,354472,4318142,Nothing Detected,13,3.28,3.68
48918,2023-07-16 06:00:37+08:00,2023-07-15 22:00:37,2023-07-16 00:01:04,2023-07-16 08:01:04+08:00,,Iridium,38.99869,97.31094,3775,2.2,3D Validated,353734,4317988,Nothing Detected,11,3.28,3.68
48918,2023-07-16 04:00:38+08:00,2023-07-15 20:00:38,2023-07-16 00:01:04,2023-07-16 08:01:04+08:00,,Iridium,39.00368,97.31193,3967,2.4,3D Validated,353830,4318541,Nothing Detected,10,3.28,3.68
48918,2023-07-16 02:00:36+08:00,2023-07-15 18:00:36,2023-07-16 00:01:04,2023-07-16 08:01:04+08:00,,Iridium,39.00640,97.31625,3795,3.2,3D Validated,354210,4318835,Nothing Detected,12,3.28,3.68
48918,2023-07-16 00:00:36+08:00,2023-07-15 16:00:36,2023-07-15 16:01:54,2023-07-16 00:01:54+08:00,,Iridium,39.01184,97.32043,3688,2.4,3D Validated,354583,4319432,Nothing Detected,12,3.28,3.68
48918,2023-07-15 22:00:38+08:00,2023-07-15 14:00:38,2023-07-15 16:01:54,2023-07-16 00:01:54+08:00,,Iridium,39.01131,97.31673,3938,1.4,3D Validated,354262,4319380,Nothing Detected,14,3.28,3.68
48918,2023-07-15 20:00:37+08:00,2023-07-15 12:00:37,2023-07-15 16:01:54,2023-07-16 00:01:54+08:00,,Iridium,39.00756,97.31986,3655,1.8,3D Validated,354524,4318958,Nothing Detected,18,3.28,3.68
48918,2023-07-15 18:00:44+08:00,2023-07-15 10:00:44,2023-07-15 16:01:54,2023-07-16 00:01:54+08:00,,Iridium,39.00787,97.32053,3641,5.8,3D Validated,354584,4318992,Nothing Detected,29,3.28,3.68
48918,2023-07-15 16:00:37+08:00,2023-07-15 08:00:37,2023-07-15 16:02:02,2023-07-16 00:02:02+08:00,,Iridium,39.00775,97.32057,3639,3.8,3D Validated,354587,4318978,Nothing Detected,17,3.28,3.68
48918,2023-07-15 14:00:44+08:00,2023-07-15 06:00:44,2023-07-15 16:02:02,2023-07-16 00:02:02+08:00,,Iridium,39.00772,97.32055,3633,5.2,3D Validated,354585,4318975,Nothing Detected,20,3.28,3.68
48918,2023-07-15 12:00:44+08:00,2023-07-15 04:00:44,2023-07-15 16:02:02,2023-07-16 00:02:02+08:00,,Iridium,39.00764,97.32056,3631,2.6,3D Validated,354586,4318966,Nothing Detected,13,3.28,3.68
48918,2023-07-15 10:00:42+08:00,2023-07-15 02:00:42,2023-07-15 16:02:02,2023-07-16 00:02:02+08:00,,Iridium,39.00766,97.32056,3635,5.8,3D Validated,354586,4318968,Nothing Detected,14,3.28,3.68
48918,2023-07-15 08:00:36+08:00,2023-07-15 00:00:36,2023-07-15 16:02:11,2023-07-16 00:02:11+08:00,,Iridium,39.01119,97.32471,3510,2.6,3D Validated,354952,4319354,Nothing Detected,27,3.28,3.6
48918,2023-07-15 06:00:37+08:00,2023-07-14 22:00:37,2023-07-15 16:02:11,2023-07-16 00:02:11+08:00,,Iridium,39.01603,97.33111,3517,1.8,3D Validated,355516,4319880,Nothing Detected,12,3.28,3.68
48918,2023-07-15 04:00:10+08:00,2023-07-14 20:00:10,2023-07-15 16:02:11,2023-07-16 00:02:11+08:00,,Iridium,39.02311,97.33572,3624,3,3D Validated,355930,4320658,Nothing Detected,12,3.28,3.68
48918,2023-07-15 02:00:38+08:00,2023-07-14 18:00:38,2023-07-15 16:02:11,2023-07-16 00:02:11+08:00,,Iridium,39.02591,97.33436,3566,1.2,3D Validated,355818,4320972,Nothing Detected,13,3.28,3.68
48918,2023-07-15 00:00:37+08:00,2023-07-14 16:00:37,2023-07-15 16:02:20,2023-07-16 00:02:20+08:00,,Iridium,39.02701,97.33393,3514,2.2,3D Validated,355783,4321095,Nothing Detected,12,3.36,3.68
48918,2023-07-14 22:00:20+08:00,2023-07-14 14:00:20,2023-07-15 16:02:20,2023-07-16 00:02:20+08:00,,Iridium,39.02742,97.33371,3516,5,3D Validated,355764,4321140,Nothing Detected,14,3.28,3.68
48918,2023-07-14 20:00:37+08:00,2023-07-14 12:00:37,2023-07-15 16:02:20,2023-07-16 00:02:20+08:00,,Iridium,39.02762,97.33134,3417,1.6,3D Validated,355559,4321167,Nothing Detected,28,3.28,3.68
48918,2023-07-14 18:00:42+08:00,2023-07-14 10:00:42,2023-07-15 16:02:20,2023-07-16 00:02:20+08:00,,Iridium,39.03011,97.33413,3315,3,3D Validated,355806,4321438,Nothing Detected,23,3.28,3.68
